date,playtime_total,id,difference
2023-08-01,1054.716667,76561198044737410,0.0
2023-08-02,1056.2333333333331,76561198044737410,1.5166663333332053
2023-08-04,1074.5,76561198044737410,18.26666666666688
2023-08-06,1080.6333333333334,76561198044737410,6.133333333333439
2023-08-08,1085.6666666666667,76561198044737410,5.033333333333303
2023-08-09,1087.9833333333331,76561198044737410,2.3166666666663787
2023-08-10,1089.25,76561198044737410,1.2666666666668789
2023-08-11,1089.25,76561198044737410,0.0
2023-08-12,1097.0666666666666,76561198044737410,7.816666666666606
2023-08-13,1103.4833333333331,76561198044737410,6.416666666666515
2023-08-14,1109.4333333333334,76561198044737410,5.950000000000273
2023-08-15,1113.9666666666667,76561198044737410,4.533333333333303
2023-08-16,1122.3166666666666,76561198044737410,8.349999999999909
2023-08-17,1127.4666666666667,76561198044737410,5.150000000000091
2023-08-17,262.55,76561198037729598,0.0
2023-08-17,432.9166666666667,76561198102561840,0.0
2023-08-18,1134.1833333333334,76561198044737410,6.716666666666697
2023-08-18,262.55,76561198037729598,0.0
2023-08-18,432.9166666666667,76561198102561840,0.0
2023-08-21,1134.1833333333334,76561198044737410,0.0
2023-08-21,262.55,76561198037729598,0.0
2023-08-21,432.9166666666667,76561198102561840,0.0
